state,value
AL,5366844
AK,800433
AZ,5588014
AR,2778660
CA,28686646
CO,4820622
CT,2866460
DE,957669
FL,15504814
GA,8155107
HI,1393259
ID,1762687
IL,10393503
IN,6012595
IA,3596530
KS,2542678
KY,4148721
LA,3886934
ME,1194661
MD,4052090
MA,4994439
MI,8126337
MN,5223189
MS,2067806
MO,5332901
MT,1585830
NE,1947627
NV,2240498
NH,1310191
NJ,6874100
NM,1930706
NY,10903620
NC,7876030
ND,870731
OH,10453358
OK,3517806
OR,3417959
PA,10504757
RI,864762
SC,4017611
SD,1032705
TN,5495647
TX,20877026
UT,2150573
VT,612437
VA,7160097
WA,6405483
WV,1553192
WI,5340155
WY,820107